r[σ]         g_ii        
 1.58798e+01  4.97335e-06
 1.59168e+01  4.89873e-06
 1.59537e+01  4.82528e-06
 1.59906e+01  4.75297e-06
 1.60276e+01  4.68180e-06
 1.60645e+01  4.61176e-06
 1.61014e+01  4.54284e-06
 1.61383e+01  4.47503e-06
 1.61753e+01  4.40832e-06
 1.62122e+01  4.34268e-06
 1.62491e+01  4.27810e-06
 1.62861e+01  4.21457e-06
 1.63230e+01  4.15206e-06
 1.63599e+01  4.09055e-06
 1.63969e+01  4.03002e-06
 1.64338e+01  3.97045e-06
 1.64707e+01  3.91182e-06
 1.65076e+01  3.85411e-06
 1.65446e+01  3.79729e-06
 1.65815e+01  3.74135e-06
 1.66184e+01  3.68628e-06
 1.66554e+01  3.63204e-06
 1.66923e+01  3.57864e-06
 1.67292e+01  3.52604e-06
 1.67662e+01  3.47425e-06
 1.68031e+01  3.42325e-06
 1.68400e+01  3.37303e-06
 1.68769e+01  3.32357e-06
 1.69139e+01  3.27487e-06
 1.69508e+01  3.22693e-06
 1.69877e+01  3.17972e-06
 1.70247e+01  3.13324e-06
 1.70616e+01  3.08748e-06
 1.70985e+01  3.04244e-06
 1.71355e+01  2.99810e-06
 1.71724e+01  2.95444e-06
 1.72093e+01  2.91147e-06
 1.72462e+01  2.86917e-06
 1.72832e+01  2.82753e-06
 1.73201e+01  2.78653e-06
 1.73570e+01  2.74617e-06
 1.73940e+01  2.70643e-06
 1.74309e+01  2.66730e-06
 1.74678e+01  2.62877e-06
 1.75048e+01  2.59083e-06
 1.75417e+01  2.55347e-06
 1.75786e+01  2.51668e-06
 1.76155e+01  2.48045e-06
 1.76525e+01  2.44476e-06
 1.76894e+01  2.40961e-06
 1.77263e+01  2.37500e-06
 1.77633e+01  2.34090e-06
 1.78002e+01  2.30732e-06
 1.78371e+01  2.27425e-06
 1.78741e+01  2.24167e-06
 1.79110e+01  2.20959e-06
 1.79479e+01  2.17800e-06
 1.79848e+01  2.14688e-06
 1.80218e+01  2.11623e-06
 1.80587e+01  2.08605e-06
 1.80956e+01  2.05633e-06
 1.81326e+01  2.02706e-06
 1.81695e+01  1.99823e-06
 1.82064e+01  1.96984e-06
 1.82434e+01  1.94188e-06
 1.82803e+01  1.91434e-06
 1.83172e+01  1.88722e-06
 1.83541e+01  1.86051e-06
 1.83911e+01  1.83420e-06
 1.84280e+01  1.80829e-06
 1.84649e+01  1.78276e-06
 1.85019e+01  1.75762e-06
 1.85388e+01  1.73285e-06
 1.85757e+01  1.70845e-06
 1.86127e+01  1.68442e-06
 1.86496e+01  1.66074e-06
 1.86865e+01  1.63742e-06
 1.87234e+01  1.61444e-06
 1.87604e+01  1.59180e-06
 1.87973e+01  1.56950e-06
 1.88342e+01  1.54753e-06
 1.88712e+01  1.52589e-06
 1.89081e+01  1.50457e-06
 1.89450e+01  1.48356e-06
 1.89819e+01  1.46287e-06
 1.90189e+01  1.44248e-06
 1.90558e+01  1.42240e-06
 1.90927e+01  1.40261e-06
 1.91297e+01  1.38312e-06
 1.91666e+01  1.36392e-06
 1.92035e+01  1.34500e-06
 1.92405e+01  1.32636e-06
 1.92774e+01  1.30800e-06
 1.93143e+01  1.28990e-06
 1.93512e+01  1.27208e-06
 1.93882e+01  1.25452e-06
 1.94251e+01  1.23721e-06
 1.94620e+01  1.22016e-06
 1.94990e+01  1.20336e-06
 1.95359e+01  1.18681e-06
 1.95728e+01  1.17049e-06
 1.96098e+01  1.15442e-06
 1.96467e+01  1.13858e-06
 1.96836e+01  1.12298e-06
 1.97205e+01  1.10760e-06
 1.97575e+01  1.09244e-06
 1.97944e+01  1.07751e-06
 1.98313e+01  1.06279e-06
 1.98683e+01  1.04829e-06
 1.99052e+01  1.03400e-06
 1.99421e+01  1.01992e-06
 1.99791e+01  1.00604e-06
 2.00160e+01  9.92360e-07
 2.00529e+01  9.78882e-07
 2.00898e+01  9.65600e-07
 2.01268e+01  9.52511e-07
 2.01637e+01  9.39611e-07
 2.02006e+01  9.26898e-07
 2.02376e+01  9.14369e-07
 2.02745e+01  9.02022e-07
 2.03114e+01  8.89852e-07
 2.03484e+01  8.77859e-07
 2.03853e+01  8.66038e-07
 2.04222e+01  8.54388e-07
 2.04591e+01  8.42905e-07
 2.04961e+01  8.31587e-07
 2.05330e+01  8.20432e-07
 2.05699e+01  8.09437e-07
 2.06069e+01  7.98600e-07
 2.06438e+01  7.87918e-07
 2.06807e+01  7.77389e-07
 2.07177e+01  7.67010e-07
 2.07546e+01  7.56780e-07
 2.07915e+01  7.46696e-07
 2.08284e+01  7.36756e-07
 2.08654e+01  7.26958e-07
 2.09023e+01  7.17299e-07
 2.09392e+01  7.07778e-07
 2.09762e+01  6.98393e-07
 2.10131e+01  6.89141e-07
 2.10500e+01  6.80022e-07
 2.10870e+01  6.71031e-07
 2.11239e+01  6.62168e-07
 2.11608e+01  6.53431e-07
 2.11977e+01  6.44818e-07
 2.12347e+01  6.36327e-07
 2.12716e+01  6.27956e-07
 2.13085e+01  6.19703e-07
 2.13455e+01  6.11567e-07
 2.13824e+01  6.03546e-07
 2.14193e+01  5.95638e-07
 2.14562e+01  5.87841e-07
 2.14932e+01  5.80155e-07
 2.15301e+01  5.72576e-07
 2.15670e+01  5.65104e-07
 2.16040e+01  5.57737e-07
 2.16409e+01  5.50473e-07
 2.16778e+01  5.43311e-07
 2.17148e+01  5.36249e-07
 2.17517e+01  5.29287e-07
 2.17886e+01  5.22421e-07
 2.18255e+01  5.15652e-07
 2.18625e+01  5.08977e-07
 2.18994e+01  5.02396e-07
 2.19363e+01  4.95906e-07
 2.19733e+01  4.89507e-07
 2.20102e+01  4.83197e-07
 2.20471e+01  4.76974e-07
 2.20841e+01  4.70838e-07
 2.21210e+01  4.64788e-07
 2.21579e+01  4.58821e-07
 2.21948e+01  4.52938e-07
 2.22318e+01  4.47135e-07
 2.22687e+01  4.41414e-07
 2.23056e+01  4.35771e-07
 2.23426e+01  4.30206e-07
 2.23795e+01  4.24719e-07
 2.24164e+01  4.19306e-07
 2.24534e+01  4.13969e-07
 2.24903e+01  4.08705e-07
 2.25272e+01  4.03514e-07
 2.25641e+01  3.98394e-07
 2.26011e+01  3.93345e-07
 2.26380e+01  3.88364e-07
 2.26749e+01  3.83452e-07
 2.27119e+01  3.78608e-07
 2.27488e+01  3.73830e-07
 2.27857e+01  3.69117e-07
 2.28227e+01  3.64469e-07
 2.28596e+01  3.59884e-07
 2.28965e+01  3.55362e-07
 2.29334e+01  3.50902e-07
 2.29704e+01  3.46502e-07
 2.30073e+01  3.42162e-07
 2.30442e+01  3.37882e-07
 2.30812e+01  3.33659e-07
 2.31181e+01  3.29495e-07
 2.31550e+01  3.25386e-07
 2.31920e+01  3.21334e-07
 2.32289e+01  3.17336e-07
 2.32658e+01  3.13392e-07
 2.33027e+01  3.09502e-07
 2.33397e+01  3.05665e-07
 2.33766e+01  3.01879e-07
 2.34135e+01  2.98144e-07
 2.34505e+01  2.94460e-07
 2.34874e+01  2.90825e-07
 2.35243e+01  2.87240e-07
 2.35613e+01  2.83702e-07
 2.35982e+01  2.80212e-07
 2.36351e+01  2.76769e-07
 2.36720e+01  2.73372e-07
 2.37090e+01  2.70021e-07
 2.37459e+01  2.66715e-07
 2.37828e+01  2.63453e-07
 2.38198e+01  2.60234e-07
 2.38567e+01  2.57059e-07
 2.38936e+01  2.53926e-07
 2.39306e+01  2.50834e-07
 2.39675e+01  2.47784e-07
 2.40044e+01  2.44775e-07
 2.40413e+01  2.41805e-07
 2.40783e+01  2.38876e-07
 2.41152e+01  2.35984e-07
 2.41521e+01  2.33132e-07
 2.41891e+01  2.30317e-07
 2.42260e+01  2.27539e-07
 2.42629e+01  2.24799e-07
 2.42998e+01  2.22094e-07
 2.43368e+01  2.19425e-07
 2.43737e+01  2.16792e-07
 2.44106e+01  2.14193e-07
 2.44476e+01  2.11629e-07
 2.44845e+01  2.09098e-07
 2.45214e+01  2.06600e-07
 2.45584e+01  2.04135e-07
 2.45953e+01  2.01703e-07
 2.46322e+01  1.99303e-07
 2.46691e+01  1.96934e-07
 2.47061e+01  1.94596e-07
 2.47430e+01  1.92289e-07
 2.47799e+01  1.90012e-07
 2.48169e+01  1.87764e-07
 2.48538e+01  1.85546e-07
 2.48907e+01  1.83357e-07
 2.49277e+01  1.81197e-07
 2.49646e+01  1.79064e-07
 2.50015e+01  1.76960e-07
 2.50384e+01  1.74882e-07
 2.50754e+01  1.72832e-07
 2.51123e+01  1.70808e-07
 2.51492e+01  1.68811e-07
 2.51862e+01  1.66839e-07
 2.52231e+01  1.64893e-07
 2.52600e+01  1.62972e-07
 2.52970e+01  1.61076e-07
 2.53339e+01  1.59204e-07
 2.53708e+01  1.57356e-07
 2.54077e+01  1.55533e-07
 2.54447e+01  1.53732e-07
 2.54816e+01  1.51955e-07
 2.55185e+01  1.50201e-07
 2.55555e+01  1.48469e-07
 2.55924e+01  1.46759e-07
 2.56293e+01  1.45072e-07
 2.56663e+01  1.43405e-07
 2.57032e+01  1.41761e-07
 2.57401e+01  1.40137e-07
 2.57770e+01  1.38534e-07
 2.58140e+01  1.36951e-07
 2.58509e+01  1.35389e-07
 2.58878e+01  1.33846e-07
 2.59248e+01  1.32323e-07
 2.59617e+01  1.30820e-07
 2.59986e+01  1.29335e-07
 2.60356e+01  1.27870e-07
 2.60725e+01  1.26423e-07
 2.61094e+01  1.24994e-07
 2.61463e+01  1.23583e-07
 2.61833e+01  1.22190e-07
 2.62202e+01  1.20815e-07
 2.62571e+01  1.19457e-07
 2.62941e+01  1.18116e-07
 2.63310e+01  1.16792e-07
 2.63679e+01  1.15485e-07
 2.64049e+01  1.14194e-07
 2.64418e+01  1.12920e-07
 2.64787e+01  1.11661e-07
 2.65156e+01  1.10419e-07
 2.65526e+01  1.09191e-07
 2.65895e+01  1.07979e-07
 2.66264e+01  1.06783e-07
 2.66634e+01  1.05601e-07
 2.67003e+01  1.04434e-07
 2.67372e+01  1.03281e-07
 2.67741e+01  1.02143e-07
 2.68111e+01  1.01019e-07
 2.68480e+01  9.99094e-08
 2.68849e+01  9.88133e-08
