# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+00[eV], Tie=4.122e+01[eV] , Te_c=4.125e+01[eV], n_i=5.980e+23[1/cc], n_e=1.794e+24[1/cc]
# Zbar=3.000, Rc=0.525[AU], Γii=8.800e+01, Γei=-1.423e+00 , Γee=4.741e-01, κ=1.890e+00
r/ri        g_ii        g_ei        g_ee        HNC:g_ii    Yuk:g_ii    βu_ii_eff   βu_Yuk      βu_OCP    
1.62000e+00 1.77072e+00 9.85967e-01 9.87695e-01 1.74279e+00 1.35933e+00 4.05180e+00 5.44685e+01 1.24354e+00
1.63000e+00 1.78359e+00 9.86460e-01 9.88051e-01 1.76012e+00 1.35646e+00 3.92560e+00 5.41251e+01 1.20743e+00
1.64000e+00 1.79317e+00 9.86969e-01 9.88396e-01 1.77418e+00 1.35286e+00 3.80316e+00 5.37862e+01 1.17241e+00
1.65000e+00 1.79959e+00 9.87497e-01 9.88731e-01 1.78504e+00 1.34859e+00 3.68436e+00 5.34517e+01 1.13845e+00
1.66000e+00 1.80298e+00 9.88042e-01 9.89056e-01 1.79282e+00 1.34370e+00 3.56911e+00 5.31215e+01 1.10552e+00
1.67000e+00 1.80346e+00 9.88604e-01 9.89372e-01 1.79762e+00 1.33823e+00 3.45732e+00 5.27956e+01 1.07357e+00
1.68000e+00 1.80121e+00 9.89182e-01 9.89679e-01 1.79958e+00 1.33224e+00 3.34891e+00 5.24738e+01 1.04259e+00
1.69000e+00 1.79637e+00 9.89775e-01 9.89977e-01 1.79883e+00 1.32577e+00 3.24377e+00 5.21560e+01 1.01254e+00
1.70000e+00 1.78911e+00 9.90383e-01 9.90266e-01 1.79551e+00 1.31886e+00 3.14183e+00 5.18423e+01 9.83385e-01
1.71000e+00 1.77961e+00 9.91004e-01 9.90547e-01 1.78979e+00 1.31157e+00 3.04299e+00 5.15325e+01 9.55105e-01
1.72000e+00 1.76802e+00 9.91637e-01 9.90820e-01 1.78182e+00 1.30392e+00 2.94718e+00 5.12266e+01 9.27670e-01
1.73000e+00 1.75454e+00 9.92281e-01 9.91086e-01 1.77177e+00 1.29596e+00 2.85431e+00 5.09245e+01 9.01053e-01
1.74000e+00 1.73932e+00 9.92935e-01 9.91343e-01 1.75978e+00 1.28773e+00 2.76429e+00 5.06261e+01 8.75230e-01
1.75000e+00 1.72253e+00 9.93598e-01 9.91594e-01 1.74603e+00 1.27926e+00 2.67706e+00 5.03313e+01 8.50174e-01
1.76000e+00 1.70434e+00 9.94268e-01 9.91837e-01 1.73066e+00 1.27058e+00 2.59253e+00 5.00401e+01 8.25863e-01
1.77000e+00 1.68491e+00 9.94944e-01 9.92073e-01 1.71385e+00 1.26173e+00 2.51063e+00 4.97525e+01 8.02273e-01
1.78000e+00 1.66439e+00 9.95624e-01 9.92303e-01 1.69574e+00 1.25274e+00 2.43129e+00 4.94683e+01 7.79382e-01
