      r[a_0]     n[bound]   n[unbound]
6.860491e-04 1.534481e+00 4.963209e-02
6.955180e-04 1.534739e+00 4.964045e-02
7.051176e-04 1.534991e+00 4.964859e-02
7.148496e-04 1.535236e+00 4.965652e-02
7.247160e-04 1.535475e+00 4.966424e-02
7.347186e-04 1.535707e+00 4.967174e-02
7.448592e-04 1.535932e+00 4.967903e-02
7.551398e-04 1.536151e+00 4.968612e-02
7.655623e-04 1.536364e+00 4.969300e-02
7.761286e-04 1.536570e+00 4.969967e-02
7.868408e-04 1.536770e+00 4.970613e-02
7.977008e-04 1.536963e+00 4.971239e-02
8.087107e-04 1.537151e+00 4.971845e-02
8.198726e-04 1.537332e+00 4.972431e-02
8.311885e-04 1.537506e+00 4.972996e-02
8.426606e-04 1.537675e+00 4.973542e-02
8.542911e-04 1.537838e+00 4.974067e-02
8.660820e-04 1.537994e+00 4.974573e-02
8.780357e-04 1.538144e+00 4.975059e-02
8.901544e-04 1.538289e+00 4.975526e-02
9.024404e-04 1.538427e+00 4.975973e-02
9.148959e-04 1.538559e+00 4.976401e-02
9.275234e-04 1.538685e+00 4.976809e-02
9.403251e-04 1.538805e+00 4.977198e-02
9.533035e-04 1.538920e+00 4.977568e-02
9.664610e-04 1.539028e+00 4.977919e-02
9.798002e-04 1.539131e+00 4.978250e-02
9.933234e-04 1.539227e+00 4.978563e-02
1.007033e-03 1.539318e+00 4.978856e-02
1.020932e-03 1.539403e+00 4.979131e-02
1.035023e-03 1.539482e+00 4.979387e-02
1.049309e-03 1.539555e+00 4.979624e-02
1.063791e-03 1.539623e+00 4.979842e-02
1.078474e-03 1.539684e+00 4.980041e-02
1.093359e-03 1.539740e+00 4.980222e-02
1.108450e-03 1.539790e+00 4.980384e-02
1.123749e-03 1.539835e+00 4.980528e-02
1.139259e-03 1.539873e+00 4.980653e-02
1.154983e-03 1.539906e+00 4.980759e-02
1.170924e-03 1.539933e+00 4.980847e-02
1.187085e-03 1.539954e+00 4.980916e-02
1.203469e-03 1.539970e+00 4.980966e-02
1.220080e-03 1.539980e+00 4.980998e-02
1.236919e-03 1.539984e+00 4.981012e-02
1.253991e-03 1.539982e+00 4.981007e-02
1.271299e-03 1.539975e+00 4.980984e-02
1.288845e-03 1.539962e+00 4.980942e-02
1.306634e-03 1.539943e+00 4.980881e-02
1.324668e-03 1.539919e+00 4.980802e-02
1.342951e-03 1.539889e+00 4.980704e-02
1.361487e-03 1.539853e+00 4.980588e-02
1.380278e-03 1.539811e+00 4.980453e-02
1.399329e-03 1.539763e+00 4.980300e-02
1.418643e-03 1.539710e+00 4.980128e-02
1.438223e-03 1.539651e+00 4.979937e-02
1.458073e-03 1.539586e+00 4.979728e-02
1.478198e-03 1.539516e+00 4.979500e-02
1.498600e-03 1.539439e+00 4.979253e-02
1.519283e-03 1.539357e+00 4.978987e-02
1.540253e-03 1.539269e+00 4.978702e-02
1.561511e-03 1.539175e+00 4.978399e-02
1.583063e-03 1.539075e+00 4.978076e-02
1.604913e-03 1.538970e+00 4.977735e-02
1.627064e-03 1.538858e+00 4.977374e-02
1.649521e-03 1.538741e+00 4.976994e-02
1.672288e-03 1.538617e+00 4.976595e-02
1.695369e-03 1.538488e+00 4.976177e-02
1.718768e-03 1.538352e+00 4.975739e-02
1.742491e-03 1.538211e+00 4.975282e-02
1.766541e-03 1.538064e+00 4.974805e-02
1.790923e-03 1.537910e+00 4.974309e-02
1.815641e-03 1.537750e+00 4.973792e-02
1.840701e-03 1.537585e+00 4.973257e-02
1.866106e-03 1.537413e+00 4.972701e-02
1.891862e-03 1.537235e+00 4.972125e-02
1.917974e-03 1.537050e+00 4.971529e-02
1.944446e-03 1.536860e+00 4.970913e-02
1.971283e-03 1.536663e+00 4.970277e-02
1.998491e-03 1.536460e+00 4.969620e-02
2.026074e-03 1.536250e+00 4.968943e-02
2.054038e-03 1.536034e+00 4.968245e-02
2.082388e-03 1.535812e+00 4.967526e-02
2.111129e-03 1.535583e+00 4.966787e-02
2.140267e-03 1.535348e+00 4.966026e-02
2.169807e-03 1.535106e+00 4.965244e-02
2.199755e-03 1.534858e+00 4.964441e-02
2.230116e-03 1.534603e+00 4.963617e-02
2.260896e-03 1.534341e+00 4.962771e-02
2.292101e-03 1.534073e+00 4.961903e-02
2.323737e-03 1.533798e+00 4.961013e-02
2.355809e-03 1.533515e+00 4.960101e-02
2.388324e-03 1.533227e+00 4.959167e-02
2.421288e-03 1.532931e+00 4.958211e-02
2.454707e-03 1.532628e+00 4.957232e-02
2.488587e-03 1.532318e+00 4.956230e-02
2.522934e-03 1.532001e+00 4.955206e-02
2.557756e-03 1.531677e+00 4.954158e-02
2.593058e-03 1.531346e+00 4.953088e-02
2.628848e-03 1.531008e+00 4.951993e-02
2.665131e-03 1.530662e+00 4.950875e-02
2.701916e-03 1.530309e+00 4.949734e-02
2.739208e-03 1.529948e+00 4.948568e-02
2.777014e-03 1.529580e+00 4.947378e-02
2.815343e-03 1.529204e+00 4.946164e-02
2.854200e-03 1.528821e+00 4.944925e-02
2.893594e-03 1.528430e+00 4.943661e-02
2.933532e-03 1.528031e+00 4.942372e-02
2.974020e-03 1.527625e+00 4.941058e-02
3.015068e-03 1.527211e+00 4.939718e-02
3.056682e-03 1.526788e+00 4.938353e-02
3.098871e-03 1.526358e+00 4.936961e-02
3.141641e-03 1.525919e+00 4.935544e-02
3.185002e-03 1.525472e+00 4.934100e-02
3.228962e-03 1.525017e+00 4.932629e-02
3.273528e-03 1.524554e+00 4.931131e-02
3.318710e-03 1.524082e+00 4.929606e-02
3.364515e-03 1.523602e+00 4.928053e-02
3.410952e-03 1.523113e+00 4.926473e-02
3.458030e-03 1.522616e+00 4.924864e-02
3.505758e-03 1.522109e+00 4.923228e-02
3.554145e-03 1.521594e+00 4.921563e-02
3.603199e-03 1.521070e+00 4.919868e-02
3.652931e-03 1.520537e+00 4.918145e-02
3.703349e-03 1.519995e+00 4.916392e-02
3.754462e-03 1.519443e+00 4.914610e-02
3.806282e-03 1.518882e+00 4.912797e-02
3.858816e-03 1.518312e+00 4.910955e-02
3.912076e-03 1.517733e+00 4.909081e-02
3.966070e-03 1.517144e+00 4.907176e-02
4.020810e-03 1.516545e+00 4.905241e-02
4.076306e-03 1.515936e+00 4.903273e-02
4.132567e-03 1.515317e+00 4.901274e-02
4.189605e-03 1.514689e+00 4.899242e-02
4.247430e-03 1.514050e+00 4.897177e-02
4.306053e-03 1.513401e+00 4.895080e-02
4.365486e-03 1.512742e+00 4.892949e-02
4.425738e-03 1.512072e+00 4.890785e-02
4.486823e-03 1.511392e+00 4.888586e-02
4.548750e-03 1.510701e+00 4.886353e-02
4.611532e-03 1.509999e+00 4.884086e-02
4.675181e-03 1.509287e+00 4.881783e-02
4.739708e-03 1.508563e+00 4.879444e-02
4.805125e-03 1.507829e+00 4.877070e-02
4.871446e-03 1.507083e+00 4.874659e-02
4.938682e-03 1.506325e+00 4.872212e-02
5.006846e-03 1.505557e+00 4.869727e-02
5.075951e-03 1.504776e+00 4.867205e-02
5.146009e-03 1.503984e+00 4.864645e-02
5.217035e-03 1.503180e+00 4.862046e-02
5.289041e-03 1.502364e+00 4.859409e-02
5.362040e-03 1.501535e+00 4.856732e-02
5.436047e-03 1.500695e+00 4.854016e-02
5.511076e-03 1.499842e+00 4.851260e-02
5.587140e-03 1.498976e+00 4.848463e-02
5.664254e-03 1.498098e+00 4.845625e-02
5.742432e-03 1.497207e+00 4.842745e-02
5.821690e-03 1.496303e+00 4.839824e-02
5.902041e-03 1.495386e+00 4.836860e-02
5.983501e-03 1.494455e+00 4.833854e-02
6.066086e-03 1.493511e+00 4.830803e-02
6.149810e-03 1.492554e+00 4.827710e-02
6.234690e-03 1.491582e+00 4.824571e-02
6.320742e-03 1.490597e+00 4.821388e-02
6.407981e-03 1.489598e+00 4.818160e-02
6.496424e-03 1.488584e+00 4.814886e-02
6.586088e-03 1.487557e+00 4.811565e-02
6.676990e-03 1.486514e+00 4.808197e-02
6.769146e-03 1.485457e+00 4.804782e-02
6.862574e-03 1.484385e+00 4.801319e-02
6.957292e-03 1.483298e+00 4.797808e-02
7.053317e-03 1.482196e+00 4.794247e-02
7.150667e-03 1.481079e+00 4.790637e-02
7.249361e-03 1.479945e+00 4.786977e-02
7.349417e-03 1.478797e+00 4.783266e-02
7.450854e-03 1.477632e+00 4.779503e-02
7.553691e-03 1.476451e+00 4.775689e-02
7.657947e-03 1.475254e+00 4.771822e-02
7.763643e-03 1.474040e+00 4.767902e-02
7.870797e-03 1.472810e+00 4.763929e-02
7.979430e-03 1.471563e+00 4.759901e-02
8.089562e-03 1.470299e+00 4.755818e-02
8.201215e-03 1.469017e+00 4.751680e-02
8.314409e-03 1.467719e+00 4.747486e-02
8.429164e-03 1.466402e+00 4.743235e-02
8.545504e-03 1.465068e+00 4.738926e-02
8.663450e-03 1.463716e+00 4.734560e-02
8.783023e-03 1.462346e+00 4.730135e-02
8.904247e-03 1.460957e+00 4.725650e-02
9.027144e-03 1.459550e+00 4.721106e-02
9.151737e-03 1.458123e+00 4.716501e-02
9.278050e-03 1.456678e+00 4.711834e-02
9.406106e-03 1.455214e+00 4.707106e-02
9.535929e-03 1.453730e+00 4.702315e-02
9.667545e-03 1.452226e+00 4.697460e-02
9.800977e-03 1.450702e+00 4.692542e-02
9.936250e-03 1.449159e+00 4.687558e-02
1.007339e-02 1.447595e+00 4.682509e-02
1.021242e-02 1.446010e+00 4.677394e-02
1.035338e-02 1.444405e+00 4.672212e-02
1.049627e-02 1.442778e+00 4.666963e-02
1.064114e-02 1.441131e+00 4.661644e-02
1.078801e-02 1.439461e+00 4.656257e-02
1.093691e-02 1.437770e+00 4.650800e-02
1.108786e-02 1.436058e+00 4.645272e-02
1.124090e-02 1.434322e+00 4.639673e-02
1.139605e-02 1.432565e+00 4.634001e-02
1.155333e-02 1.430785e+00 4.628257e-02
1.171279e-02 1.428982e+00 4.622438e-02
1.187445e-02 1.427155e+00 4.616546e-02
1.203835e-02 1.425305e+00 4.610577e-02
1.220450e-02 1.423432e+00 4.604533e-02
1.237295e-02 1.421535e+00 4.598412e-02
1.254372e-02 1.419613e+00 4.592213e-02
1.271685e-02 1.417667e+00 4.585936e-02
1.289237e-02 1.415696e+00 4.579579e-02
1.307031e-02 1.413701e+00 4.573142e-02
1.325071e-02 1.411680e+00 4.566624e-02
1.343359e-02 1.409633e+00 4.560025e-02
1.361900e-02 1.407561e+00 4.553342e-02
1.380697e-02 1.405463e+00 4.546576e-02
1.399754e-02 1.403338e+00 4.539726e-02
1.419073e-02 1.401187e+00 4.532790e-02
1.438659e-02 1.399009e+00 4.525768e-02
1.458516e-02 1.396804e+00 4.518660e-02
1.478646e-02 1.394572e+00 4.511463e-02
1.499055e-02 1.392312e+00 4.504178e-02
1.519745e-02 1.390024e+00 4.496803e-02
1.540720e-02 1.387707e+00 4.489338e-02
1.561985e-02 1.385363e+00 4.481782e-02
1.583544e-02 1.382989e+00 4.474133e-02
1.605400e-02 1.380586e+00 4.466391e-02
1.627558e-02 1.378154e+00 4.458555e-02
1.650022e-02 1.375693e+00 4.450624e-02
1.672795e-02 1.373201e+00 4.442597e-02
1.695883e-02 1.370679e+00 4.434474e-02
