      r[a_0]     n[bound]   n[unbound]
7.572494e-03 2.671684e-01 1.854459e-01
7.671115e-03 2.670687e-01 1.853768e-01
7.771021e-03 2.669676e-01 1.853066e-01
7.872228e-03 2.668651e-01 1.852354e-01
7.974753e-03 2.667611e-01 1.851633e-01
8.078614e-03 2.666557e-01 1.850901e-01
8.183827e-03 2.665488e-01 1.850159e-01
8.290410e-03 2.664405e-01 1.849407e-01
8.398382e-03 2.663306e-01 1.848644e-01
8.507759e-03 2.662192e-01 1.847871e-01
8.618561e-03 2.661063e-01 1.847087e-01
8.730807e-03 2.659918e-01 1.846293e-01
8.844514e-03 2.658757e-01 1.845487e-01
8.959701e-03 2.657581e-01 1.844671e-01
9.076390e-03 2.656389e-01 1.843843e-01
9.194597e-03 2.655180e-01 1.843005e-01
9.314345e-03 2.653955e-01 1.842154e-01
9.435651e-03 2.652714e-01 1.841293e-01
9.558538e-03 2.651455e-01 1.840419e-01
9.683025e-03 2.650180e-01 1.839534e-01
9.809133e-03 2.648887e-01 1.838637e-01
9.936884e-03 2.647578e-01 1.837728e-01
1.006630e-02 2.646250e-01 1.836807e-01
1.019740e-02 2.644905e-01 1.835874e-01
1.033021e-02 2.643542e-01 1.834928e-01
1.046474e-02 2.642161e-01 1.833970e-01
1.060103e-02 2.640762e-01 1.832998e-01
1.073910e-02 2.639344e-01 1.832014e-01
1.087896e-02 2.637907e-01 1.831017e-01
