      r[a_0]     n[bound]   n[unbound]
3.529257e-03 1.911000e+00 4.301179e-01
3.575221e-03 1.910560e+00 4.300188e-01
3.621783e-03 1.910112e+00 4.299179e-01
3.668952e-03 1.909656e+00 4.298152e-01
3.716735e-03 1.909192e+00 4.297107e-01
3.765141e-03 1.908719e+00 4.296045e-01
3.814177e-03 1.908239e+00 4.294963e-01
3.863851e-03 1.907750e+00 4.293864e-01
3.914173e-03 1.907254e+00 4.292745e-01
3.965150e-03 1.906748e+00 4.291608e-01
4.016790e-03 1.906235e+00 4.290452e-01
4.069104e-03 1.905713e+00 4.289277e-01
4.122098e-03 1.905182e+00 4.288082e-01
4.175783e-03 1.904642e+00 4.286868e-01
4.230167e-03 1.904094e+00 4.285634e-01
4.285259e-03 1.903537e+00 4.284380e-01
4.341069e-03 1.902971e+00 4.283106e-01
4.397606e-03 1.902396e+00 4.281812e-01
4.454878e-03 1.901812e+00 4.280497e-01
4.512897e-03 1.901219e+00 4.279161e-01
4.571672e-03 1.900616e+00 4.277805e-01
4.631212e-03 1.900004e+00 4.276427e-01
4.691527e-03 1.899382e+00 4.275028e-01
4.752628e-03 1.898751e+00 4.273607e-01
4.814524e-03 1.898110e+00 4.272165e-01
4.877227e-03 1.897460e+00 4.270701e-01
4.940746e-03 1.896800e+00 4.269214e-01
5.005093e-03 1.896129e+00 4.267706e-01
5.070277e-03 1.895449e+00 4.266174e-01
5.136311e-03 1.894758e+00 4.264619e-01
5.203205e-03 1.894057e+00 4.263042e-01
5.270969e-03 1.893346e+00 4.261441e-01
5.339617e-03 1.892624e+00 4.259816e-01
5.409158e-03 1.891892e+00 4.258168e-01
5.479605e-03 1.891149e+00 4.256495e-01
5.550969e-03 1.890395e+00 4.254798e-01
5.623263e-03 1.889630e+00 4.253077e-01
5.696499e-03 1.888854e+00 4.251330e-01
5.770688e-03 1.888067e+00 4.249559e-01
5.845843e-03 1.887269e+00 4.247762e-01
5.921978e-03 1.886459e+00 4.245939e-01
5.999103e-03 1.885637e+00 4.244090e-01
6.077234e-03 1.884805e+00 4.242215e-01
