      r[a_0]     n(bound)   n(unbound)
3.667817e-04 3.108288e+01 1.379920e+00
3.713972e-04 3.109477e+01 1.380448e+00
3.760708e-04 3.110649e+01 1.380968e+00
3.808033e-04 3.111803e+01 1.381480e+00
3.855953e-04 3.112940e+01 1.381985e+00
3.904475e-04 3.114060e+01 1.382482e+00
3.953609e-04 3.115164e+01 1.382972e+00
4.003361e-04 3.116251e+01 1.383455e+00
4.053739e-04 3.117321e+01 1.383930e+00
4.104750e-04 3.118376e+01 1.384398e+00
4.156404e-04 3.119414e+01 1.384859e+00
4.208708e-04 3.120436e+01 1.385313e+00
4.261670e-04 3.121442e+01 1.385760e+00
4.315298e-04 3.122433e+01 1.386200e+00
4.369601e-04 3.123409e+01 1.386632e+00
4.424588e-04 3.124368e+01 1.387059e+00
4.480266e-04 3.125313e+01 1.387478e+00
4.536646e-04 3.126243e+01 1.387891e+00
4.593734e-04 3.127158e+01 1.388297e+00
4.651541e-04 3.128057e+01 1.388696e+00
4.710076e-04 3.128943e+01 1.389089e+00
4.769347e-04 3.129813e+01 1.389476e+00
4.829364e-04 3.130670e+01 1.389856e+00
4.890136e-04 3.131512e+01 1.390230e+00
4.951673e-04 3.132340e+01 1.390598e+00
5.013984e-04 3.133153e+01 1.390959e+00
5.077080e-04 3.133953e+01 1.391314e+00
5.140969e-04 3.134740e+01 1.391663e+00
5.205662e-04 3.135512e+01 1.392006e+00
5.271170e-04 3.136271e+01 1.392343e+00
5.337502e-04 3.137016e+01 1.392674e+00
5.404668e-04 3.137749e+01 1.392999e+00
5.472680e-04 3.138468e+01 1.393318e+00
5.541548e-04 3.139173e+01 1.393632e+00
5.611282e-04 3.139866e+01 1.393939e+00
5.681894e-04 3.140546e+01 1.394241e+00
5.753394e-04 3.141213e+01 1.394537e+00
5.825794e-04 3.141868e+01 1.394828e+00
5.899105e-04 3.142509e+01 1.395113e+00
5.973339e-04 3.143139e+01 1.395392e+00
6.048507e-04 3.143756e+01 1.395666e+00
6.124620e-04 3.144360e+01 1.395934e+00
6.201692e-04 3.144953e+01 1.396197e+00
6.279733e-04 3.145533e+01 1.396455e+00
6.358757e-04 3.146101e+01 1.396707e+00
6.438775e-04 3.146657e+01 1.396954e+00
6.519800e-04 3.147201e+01 1.397196e+00
6.601844e-04 3.147734e+01 1.397432e+00
6.684921e-04 3.148254e+01 1.397664e+00
6.769043e-04 3.148764e+01 1.397890e+00
6.854224e-04 3.149261e+01 1.398110e+00
6.940477e-04 3.149747e+01 1.398326e+00
7.027815e-04 3.150222e+01 1.398537e+00
7.116252e-04 3.150685e+01 1.398743e+00
7.205802e-04 3.151137e+01 1.398943e+00
7.296479e-04 3.151578e+01 1.399139e+00
7.388298e-04 3.152007e+01 1.399330e+00
7.481271e-04 3.152426e+01 1.399516e+00
7.575415e-04 3.152833e+01 1.399697e+00
7.670743e-04 3.153230e+01 1.399873e+00
7.767271e-04 3.153615e+01 1.400044e+00
7.865013e-04 3.153990e+01 1.400210e+00
7.963985e-04 3.154354e+01 1.400372e+00
8.064203e-04 3.154707e+01 1.400529e+00
8.165682e-04 3.155050e+01 1.400681e+00
8.268438e-04 3.155382e+01 1.400828e+00
8.372488e-04 3.155703e+01 1.400971e+00
8.477846e-04 3.156014e+01 1.401109e+00
8.584530e-04 3.156314e+01 1.401243e+00
8.692557e-04 3.156604e+01 1.401371e+00
8.801943e-04 3.156884e+01 1.401495e+00
8.912706e-04 3.157153e+01 1.401615e+00
9.024863e-04 3.157412e+01 1.401730e+00
9.138430e-04 3.157660e+01 1.401840e+00
9.253427e-04 3.157899e+01 1.401946e+00
9.369871e-04 3.158127e+01 1.402048e+00
9.487781e-04 3.158345e+01 1.402144e+00
9.607174e-04 3.158553e+01 1.402237e+00
9.728070e-04 3.158751e+01 1.402325e+00
9.850487e-04 3.158938e+01 1.402408e+00
9.974444e-04 3.159116e+01 1.402487e+00
1.009996e-03 3.159284e+01 1.402562e+00
1.022706e-03 3.159441e+01 1.402632e+00
1.035575e-03 3.159589e+01 1.402697e+00
1.048607e-03 3.159727e+01 1.402758e+00
1.061803e-03 3.159854e+01 1.402815e+00
1.075164e-03 3.159972e+01 1.402868e+00
1.088694e-03 3.160080e+01 1.402916e+00
1.102394e-03 3.160179e+01 1.402959e+00
1.116266e-03 3.160267e+01 1.402999e+00
1.130313e-03 3.160345e+01 1.403034e+00
1.144537e-03 3.160414e+01 1.403064e+00
1.158940e-03 3.160473e+01 1.403090e+00
1.173524e-03 3.160522e+01 1.403112e+00
1.188291e-03 3.160561e+01 1.403130e+00
1.203245e-03 3.160591e+01 1.403143e+00
1.218386e-03 3.160610e+01 1.403152e+00
1.233718e-03 3.160620e+01 1.403156e+00
1.249243e-03 3.160620e+01 1.403156e+00
1.264963e-03 3.160610e+01 1.403152e+00
1.280882e-03 3.160591e+01 1.403144e+00
1.297000e-03 3.160562e+01 1.403131e+00
1.313321e-03 3.160523e+01 1.403113e+00
1.329848e-03 3.160474e+01 1.403092e+00
1.346583e-03 3.160415e+01 1.403066e+00
1.363528e-03 3.160346e+01 1.403036e+00
1.380686e-03 3.160268e+01 1.403001e+00
1.398061e-03 3.160180e+01 1.402962e+00
1.415654e-03 3.160082e+01 1.402919e+00
1.433468e-03 3.159974e+01 1.402871e+00
1.451507e-03 3.159856e+01 1.402819e+00
1.469773e-03 3.159729e+01 1.402762e+00
1.488268e-03 3.159591e+01 1.402701e+00
1.506996e-03 3.159444e+01 1.402636e+00
1.525960e-03 3.159286e+01 1.402566e+00
1.545163e-03 3.159119e+01 1.402492e+00
1.564607e-03 3.158941e+01 1.402414e+00
1.584296e-03 3.158754e+01 1.402331e+00
1.604232e-03 3.158556e+01 1.402243e+00
1.624420e-03 3.158349e+01 1.402151e+00
1.644861e-03 3.158131e+01 1.402055e+00
1.665560e-03 3.157903e+01 1.401954e+00
1.686519e-03 3.157665e+01 1.401848e+00
1.707742e-03 3.157417e+01 1.401738e+00
1.729232e-03 3.157158e+01 1.401623e+00
1.750993e-03 3.156890e+01 1.401504e+00
1.773027e-03 3.156610e+01 1.401381e+00
1.795338e-03 3.156321e+01 1.401252e+00
1.817931e-03 3.156021e+01 1.401119e+00
1.840807e-03 3.155711e+01 1.400982e+00
1.863972e-03 3.155390e+01 1.400840e+00
1.887428e-03 3.155058e+01 1.400693e+00
1.911179e-03 3.154716e+01 1.400541e+00
1.935229e-03 3.154363e+01 1.400385e+00
1.959582e-03 3.154000e+01 1.400224e+00
1.984241e-03 3.153626e+01 1.400058e+00
2.009211e-03 3.153241e+01 1.399887e+00
2.034494e-03 3.152845e+01 1.399712e+00
2.060096e-03 3.152438e+01 1.399532e+00
2.086020e-03 3.152021e+01 1.399346e+00
2.112270e-03 3.151592e+01 1.399156e+00
2.138851e-03 3.151152e+01 1.398961e+00
2.165766e-03 3.150701e+01 1.398761e+00
2.193020e-03 3.150238e+01 1.398556e+00
2.220617e-03 3.149765e+01 1.398347e+00
2.248561e-03 3.149280e+01 1.398132e+00
2.276856e-03 3.148783e+01 1.397912e+00
2.305508e-03 3.148275e+01 1.397686e+00
2.334520e-03 3.147756e+01 1.397456e+00
2.363897e-03 3.147225e+01 1.397221e+00
2.393644e-03 3.146682e+01 1.396980e+00
2.423766e-03 3.146127e+01 1.396734e+00
2.454266e-03 3.145560e+01 1.396483e+00
2.485150e-03 3.144981e+01 1.396226e+00
2.516423e-03 3.144391e+01 1.395965e+00
2.548090e-03 3.143788e+01 1.395697e+00
2.580155e-03 3.143173e+01 1.395425e+00
2.612623e-03 3.142545e+01 1.395147e+00
2.645500e-03 3.141905e+01 1.394863e+00
2.678791e-03 3.141253e+01 1.394574e+00
2.712500e-03 3.140588e+01 1.394279e+00
2.746634e-03 3.139910e+01 1.393979e+00
2.781197e-03 3.139219e+01 1.393673e+00
2.816196e-03 3.138516e+01 1.393361e+00
2.851634e-03 3.137799e+01 1.393043e+00
2.887519e-03 3.137070e+01 1.392720e+00
2.923855e-03 3.136327e+01 1.392391e+00
2.960649e-03 3.135571e+01 1.392056e+00
2.997905e-03 3.134801e+01 1.391715e+00
3.035630e-03 3.134018e+01 1.391368e+00
3.073830e-03 3.133221e+01 1.391015e+00
3.112511e-03 3.132411e+01 1.390655e+00
3.151679e-03 3.131586e+01 1.390290e+00
3.191339e-03 3.130748e+01 1.389919e+00
3.231499e-03 3.129895e+01 1.389541e+00
3.272163e-03 3.129028e+01 1.389157e+00
3.313340e-03 3.128147e+01 1.388766e+00
3.355035e-03 3.127251e+01 1.388369e+00
3.397254e-03 3.126341e+01 1.387966e+00
3.440005e-03 3.125416e+01 1.387556e+00
3.483293e-03 3.124476e+01 1.387140e+00
3.527127e-03 3.123521e+01 1.386717e+00
3.571512e-03 3.122551e+01 1.386287e+00
3.616455e-03 3.121566e+01 1.385850e+00
3.661964e-03 3.120565e+01 1.385407e+00
3.708046e-03 3.119548e+01 1.384956e+00
3.754708e-03 3.118516e+01 1.384499e+00
3.801957e-03 3.117468e+01 1.384035e+00
3.849800e-03 3.116404e+01 1.383564e+00
3.898245e-03 3.115324e+01 1.383085e+00
3.947300e-03 3.114228e+01 1.382599e+00
3.996973e-03 3.113115e+01 1.382106e+00
4.047270e-03 3.111985e+01 1.381606e+00
4.098201e-03 3.110839e+01 1.381098e+00
4.149772e-03 3.109675e+01 1.380583e+00
4.201992e-03 3.108495e+01 1.380060e+00
4.254870e-03 3.107297e+01 1.379530e+00
4.308413e-03 3.106082e+01 1.378992e+00
4.362629e-03 3.104850e+01 1.378446e+00
4.417528e-03 3.103599e+01 1.377892e+00
4.473118e-03 3.102331e+01 1.377330e+00
4.529407e-03 3.101044e+01 1.376760e+00
4.586404e-03 3.099739e+01 1.376182e+00
4.644119e-03 3.098416e+01 1.375596e+00
4.702560e-03 3.097074e+01 1.375002e+00
4.761737e-03 3.095713e+01 1.374400e+00
4.821658e-03 3.094333e+01 1.373789e+00
4.882333e-03 3.092934e+01 1.373169e+00
4.943772e-03 3.091516e+01 1.372541e+00
5.005984e-03 3.090077e+01 1.371904e+00
5.068979e-03 3.088619e+01 1.371259e+00
5.132766e-03 3.087142e+01 1.370604e+00
5.197356e-03 3.085643e+01 1.369941e+00
5.262759e-03 3.084125e+01 1.369269e+00
5.328985e-03 3.082586e+01 1.368587e+00
5.396044e-03 3.081025e+01 1.367897e+00
5.463948e-03 3.079444e+01 1.367197e+00
5.532705e-03 3.077842e+01 1.366488e+00
5.602328e-03 3.076218e+01 1.365769e+00
5.672827e-03 3.074573e+01 1.365041e+00
5.744214e-03 3.072905e+01 1.364303e+00
5.816498e-03 3.071216e+01 1.363555e+00
5.889692e-03 3.069504e+01 1.362797e+00
5.963808e-03 3.067769e+01 1.362030e+00
6.038856e-03 3.066012e+01 1.361252e+00
6.114848e-03 3.064232e+01 1.360464e+00
6.191796e-03 3.062428e+01 1.359666e+00
6.269713e-03 3.060601e+01 1.358858e+00
6.348611e-03 3.058750e+01 1.358039e+00
6.428501e-03 3.056875e+01 1.357209e+00
6.509396e-03 3.054975e+01 1.356369e+00
6.591310e-03 3.053052e+01 1.355518e+00
6.674254e-03 3.051103e+01 1.354656e+00
6.758242e-03 3.049130e+01 1.353783e+00
6.843287e-03 3.047131e+01 1.352899e+00
6.929403e-03 3.045106e+01 1.352003e+00
7.016601e-03 3.043056e+01 1.351096e+00
7.104898e-03 3.040980e+01 1.350178e+00
7.194305e-03 3.038877e+01 1.349248e+00
7.284837e-03 3.036748e+01 1.348307e+00
7.376509e-03 3.034592e+01 1.347353e+00
7.469334e-03 3.032409e+01 1.346388e+00
7.563327e-03 3.030198e+01 1.345410e+00
7.658503e-03 3.027960e+01 1.344420e+00
7.754877e-03 3.025693e+01 1.343418e+00
7.852463e-03 3.023399e+01 1.342404e+00
7.951278e-03 3.021076e+01 1.341377e+00
8.051336e-03 3.018723e+01 1.340337e+00
8.152653e-03 3.016342e+01 1.339285e+00
8.255245e-03 3.013931e+01 1.338219e+00
8.359128e-03 3.011491e+01 1.337140e+00
8.464319e-03 3.009020e+01 1.336048e+00
