      r[a_0]     n(bound)   n(unbound)
4.326343e-04 7.724315e+03 3.333374e-09
4.383173e-04 7.725199e+03 3.338594e-09
4.440749e-04 7.726019e+03 3.344046e-09
4.499082e-04 7.726775e+03 3.349744e-09
4.558181e-04 7.727467e+03 3.355704e-09
4.618056e-04 7.728096e+03 3.361939e-09
4.678718e-04 7.728662e+03 3.368468e-09
4.740177e-04 7.729165e+03 3.375306e-09
4.802442e-04 7.729604e+03 3.382472e-09
4.865526e-04 7.729980e+03 3.389985e-09
4.929439e-04 7.730293e+03 3.397864e-09
4.994191e-04 7.730543e+03 3.406131e-09
5.059793e-04 7.730730e+03 3.414808e-09
5.126258e-04 7.730854e+03 3.423918e-09
5.193595e-04 7.730916e+03 3.433486e-09
5.261817e-04 7.730914e+03 3.443538e-09
5.330935e-04 7.730849e+03 3.454100e-09
5.400961e-04 7.730722e+03 3.465202e-09
5.471907e-04 7.730532e+03 3.476873e-09
5.543785e-04 7.730278e+03 3.489146e-09
5.616606e-04 7.729962e+03 3.502054e-09
5.690385e-04 7.729583e+03 3.515633e-09
5.765133e-04 7.729141e+03 3.529919e-09
5.840862e-04 7.728635e+03 3.544952e-09
5.917586e-04 7.728067e+03 3.560772e-09
5.995319e-04 7.727435e+03 3.577425e-09
6.074072e-04 7.726739e+03 3.594954e-09
6.153859e-04 7.725981e+03 3.613409e-09
6.234695e-04 7.725158e+03 3.632840e-09
6.316593e-04 7.724272e+03 3.653301e-09
6.399566e-04 7.723322e+03 3.674848e-09
6.483629e-04 7.722309e+03 3.697540e-09
6.568797e-04 7.721231e+03 3.721440e-09
6.655083e-04 7.720089e+03 3.746614e-09
6.742503e-04 7.718882e+03 3.773131e-09
6.831071e-04 7.717611e+03 3.801064e-09
6.920802e-04 7.716275e+03 3.830490e-09
7.011712e-04 7.714874e+03 3.861490e-09
7.103817e-04 7.713407e+03 3.894150e-09
7.197131e-04 7.711876e+03 3.928559e-09
7.291671e-04 7.710279e+03 3.964811e-09
7.387453e-04 7.708615e+03 4.003008e-09
7.484492e-04 7.706886e+03 4.043253e-09
7.582807e-04 7.705091e+03 4.085658e-09
7.682413e-04 7.703228e+03 4.130339e-09
7.783328e-04 7.701299e+03 4.177419e-09
7.885568e-04 7.699303e+03 4.227026e-09
7.989151e-04 7.697239e+03 4.279298e-09
8.094094e-04 7.695108e+03 4.334378e-09
8.200417e-04 7.692908e+03 4.392417e-09
8.308136e-04 7.690640e+03 4.453573e-09
8.417269e-04 7.688304e+03 4.518016e-09
8.527837e-04 7.685898e+03 4.585920e-09
8.639857e-04 7.683423e+03 4.657472e-09
8.753348e-04 7.680878e+03 4.732869e-09
8.868330e-04 7.678263e+03 4.812315e-09
8.984822e-04 7.675577e+03 4.896029e-09
9.102845e-04 7.672821e+03 4.984240e-09
9.222418e-04 7.669993e+03 5.077188e-09
9.343561e-04 7.667093e+03 5.175127e-09
9.466296e-04 7.664122e+03 5.278324e-09
9.590644e-04 7.661078e+03 5.387062e-09
9.716624e-04 7.657961e+03 5.501636e-09
9.844260e-04 7.654770e+03 5.622359e-09
9.973572e-04 7.651506e+03 5.749561e-09
1.010458e-03 7.648167e+03 5.883586e-09
1.023731e-03 7.644753e+03 6.024801e-09
1.037179e-03 7.641265e+03 6.173590e-09
1.050803e-03 7.637700e+03 6.330357e-09
1.064606e-03 7.634059e+03 6.495529e-09
1.078591e-03 7.630341e+03 6.669554e-09
1.092759e-03 7.626546e+03 6.852906e-09
1.107113e-03 7.622673e+03 7.046082e-09
1.121656e-03 7.618721e+03 7.249607e-09
1.136390e-03 7.614691e+03 7.464032e-09
1.151317e-03 7.610581e+03 7.689940e-09
1.166440e-03 7.606391e+03 7.927943e-09
1.181762e-03 7.602120e+03 8.178686e-09
1.197286e-03 7.597768e+03 8.442848e-09
1.213013e-03 7.593334e+03 8.721145e-09
1.228947e-03 7.588818e+03 9.014331e-09
1.245090e-03 7.584218e+03 9.323197e-09
1.261445e-03 7.579535e+03 9.648581e-09
1.278015e-03 7.574767e+03 9.991361e-09
1.294803e-03 7.569914e+03 1.035246e-08
1.311811e-03 7.564976e+03 1.073287e-08
1.329043e-03 7.559951e+03 1.113360e-08
1.346501e-03 7.554838e+03 1.155573e-08
1.364188e-03 7.549639e+03 1.200042e-08
1.382108e-03 7.544350e+03 1.246885e-08
1.400263e-03 7.538973e+03 1.296230e-08
1.418657e-03 7.533505e+03 1.348208e-08
1.437292e-03 7.527947e+03 1.402961e-08
1.456172e-03 7.522297e+03 1.460636e-08
1.475300e-03 7.516556e+03 1.521387e-08
1.494679e-03 7.510721e+03 1.585380e-08
1.514313e-03 7.504792e+03 1.652785e-08
1.534204e-03 7.498770e+03 1.723785e-08
1.554357e-03 7.492651e+03 1.798570e-08
1.574775e-03 7.486437e+03 1.877341e-08
1.595461e-03 7.480126e+03 1.960311e-08
1.616419e-03 7.473717e+03 2.047701e-08
