      r[a_0]     n(bound)   n(unbound) n(tightbound)
1.204307e-04 1.242573e+03 1.300695e+01 1.164904e+03
1.220197e-04 1.244243e+03 1.302443e+01 1.166469e+03
1.236297e-04 1.245891e+03 1.304168e+01 1.168014e+03
1.252609e-04 1.247517e+03 1.305871e+01 1.169539e+03
1.269137e-04 1.249122e+03 1.307550e+01 1.171043e+03
1.285882e-04 1.250705e+03 1.309208e+01 1.172528e+03
1.302849e-04 1.252267e+03 1.310843e+01 1.173992e+03
1.320039e-04 1.253809e+03 1.312457e+01 1.175437e+03
1.337457e-04 1.255330e+03 1.314049e+01 1.176863e+03
1.355104e-04 1.256830e+03 1.315619e+01 1.178270e+03
1.372984e-04 1.258311e+03 1.317169e+01 1.179658e+03
1.391100e-04 1.259771e+03 1.318697e+01 1.181027e+03
1.409454e-04 1.261212e+03 1.320205e+01 1.182377e+03
1.428051e-04 1.262633e+03 1.321693e+01 1.183710e+03
1.446894e-04 1.264034e+03 1.323160e+01 1.185024e+03
1.465985e-04 1.265417e+03 1.324607e+01 1.186320e+03
1.485328e-04 1.266781e+03 1.326035e+01 1.187598e+03
1.504926e-04 1.268126e+03 1.327443e+01 1.188859e+03
1.524783e-04 1.269452e+03 1.328831e+01 1.190103e+03
1.544902e-04 1.270761e+03 1.330201e+01 1.191329e+03
1.565286e-04 1.272051e+03 1.331551e+01 1.192539e+03
1.585939e-04 1.273323e+03 1.332883e+01 1.193732e+03
1.606865e-04 1.274577e+03 1.334196e+01 1.194908e+03
1.628066e-04 1.275814e+03 1.335491e+01 1.196067e+03
1.649548e-04 1.277034e+03 1.336767e+01 1.197210e+03
1.671313e-04 1.278236e+03 1.338026e+01 1.198338e+03
1.693365e-04 1.279421e+03 1.339267e+01 1.199449e+03
1.715708e-04 1.280590e+03 1.340490e+01 1.200544e+03
1.738346e-04 1.281742e+03 1.341696e+01 1.201624e+03
1.761283e-04 1.282877e+03 1.342884e+01 1.202689e+03
1.784522e-04 1.283997e+03 1.344056e+01 1.203738e+03
1.808068e-04 1.285100e+03 1.345210e+01 1.204772e+03
1.831924e-04 1.286187e+03 1.346348e+01 1.205791e+03
1.856096e-04 1.287258e+03 1.347469e+01 1.206796e+03
1.880586e-04 1.288314e+03 1.348574e+01 1.207785e+03
1.905399e-04 1.289354e+03 1.349663e+01 1.208760e+03
1.930540e-04 1.290379e+03 1.350736e+01 1.209721e+03
1.956012e-04 1.291388e+03 1.351793e+01 1.210668e+03
1.981821e-04 1.292383e+03 1.352834e+01 1.211600e+03
2.007970e-04 1.293363e+03 1.353860e+01 1.212519e+03
2.034464e-04 1.294328e+03 1.354870e+01 1.213424e+03
2.061308e-04 1.295279e+03 1.355865e+01 1.214315e+03
2.088506e-04 1.296215e+03 1.356845e+01 1.215193e+03
2.116063e-04 1.297137e+03 1.357810e+01 1.216057e+03
2.143983e-04 1.298045e+03 1.358760e+01 1.216908e+03
2.172272e-04 1.298939e+03 1.359696e+01 1.217746e+03
2.200934e-04 1.299819e+03 1.360617e+01 1.218571e+03
2.229974e-04 1.300685e+03 1.361524e+01 1.219383e+03
2.259398e-04 1.301538e+03 1.362417e+01 1.220183e+03
2.289209e-04 1.302377e+03 1.363295e+01 1.220970e+03
2.319414e-04 1.303203e+03 1.364160e+01 1.221744e+03
2.350018e-04 1.304016e+03 1.365010e+01 1.222506e+03
2.381025e-04 1.304816e+03 1.365848e+01 1.223256e+03
2.412442e-04 1.305603e+03 1.366671e+01 1.223994e+03
2.444272e-04 1.306377e+03 1.367481e+01 1.224719e+03
2.476523e-04 1.307138e+03 1.368278e+01 1.225433e+03
2.509200e-04 1.307887e+03 1.369062e+01 1.226135e+03
2.542308e-04 1.308623e+03 1.369833e+01 1.226825e+03
2.575852e-04 1.309347e+03 1.370591e+01 1.227504e+03
2.609839e-04 1.310059e+03 1.371336e+01 1.228172e+03
2.644275e-04 1.310759e+03 1.372068e+01 1.228828e+03
2.679165e-04 1.311447e+03 1.372788e+01 1.229472e+03
2.714515e-04 1.312122e+03 1.373495e+01 1.230106e+03
2.750331e-04 1.312786e+03 1.374190e+01 1.230728e+03
2.786621e-04 1.313439e+03 1.374873e+01 1.231340e+03
2.823389e-04 1.314080e+03 1.375544e+01 1.231941e+03
2.860642e-04 1.314709e+03 1.376202e+01 1.232531e+03
2.898387e-04 1.315327e+03 1.376849e+01 1.233110e+03
2.936629e-04 1.315933e+03 1.377484e+01 1.233679e+03
2.975377e-04 1.316529e+03 1.378107e+01 1.234237e+03
3.014635e-04 1.317113e+03 1.378719e+01 1.234785e+03
3.054412e-04 1.317687e+03 1.379319e+01 1.235322e+03
3.094713e-04 1.318249e+03 1.379908e+01 1.235850e+03
3.135547e-04 1.318801e+03 1.380485e+01 1.236367e+03
3.176919e-04 1.319342e+03 1.381051e+01 1.236874e+03
3.218836e-04 1.319872e+03 1.381606e+01 1.237371e+03
3.261307e-04 1.320392e+03 1.382150e+01 1.237858e+03
3.304339e-04 1.320901e+03 1.382683e+01 1.238336e+03
3.347938e-04 1.321400e+03 1.383205e+01 1.238803e+03
3.392112e-04 1.321888e+03 1.383716e+01 1.239261e+03
3.436869e-04 1.322367e+03 1.384217e+01 1.239710e+03
3.482217e-04 1.322835e+03 1.384707e+01 1.240149e+03
3.528163e-04 1.323293e+03 1.385186e+01 1.240578e+03
3.574716e-04 1.323741e+03 1.385655e+01 1.240998e+03
3.621882e-04 1.324179e+03 1.386113e+01 1.241409e+03
3.669671e-04 1.324607e+03 1.386561e+01 1.241810e+03
3.718091e-04 1.325025e+03 1.386999e+01 1.242202e+03
3.767149e-04 1.325434e+03 1.387427e+01 1.242585e+03
3.816855e-04 1.325833e+03 1.387844e+01 1.242959e+03
3.867216e-04 1.326222e+03 1.388252e+01 1.243324e+03
3.918242e-04 1.326602e+03 1.388649e+01 1.243680e+03
3.969941e-04 1.326972e+03 1.389036e+01 1.244028e+03
4.022323e-04 1.327333e+03 1.389414e+01 1.244366e+03
4.075395e-04 1.327685e+03 1.389782e+01 1.244695e+03
4.129168e-04 1.328027e+03 1.390140e+01 1.245016e+03
4.183650e-04 1.328360e+03 1.390488e+01 1.245328e+03
4.238852e-04 1.328683e+03 1.390826e+01 1.245632e+03
4.294781e-04 1.328998e+03 1.391156e+01 1.245927e+03
4.351449e-04 1.329303e+03 1.391475e+01 1.246213e+03
4.408864e-04 1.329600e+03 1.391785e+01 1.246491e+03
4.467037e-04 1.329887e+03 1.392086e+01 1.246760e+03
4.525977e-04 1.330165e+03 1.392377e+01 1.247021e+03
4.585695e-04 1.330435e+03 1.392659e+01 1.247274e+03
4.646201e-04 1.330695e+03 1.392931e+01 1.247518e+03
4.707505e-04 1.330947e+03 1.393194e+01 1.247754e+03
4.769618e-04 1.331190e+03 1.393448e+01 1.247982e+03
4.832551e-04 1.331424e+03 1.393693e+01 1.248201e+03
4.896314e-04 1.331650e+03 1.393929e+01 1.248413e+03
4.960918e-04 1.331867e+03 1.394156e+01 1.248616e+03
5.026375e-04 1.332075e+03 1.394373e+01 1.248811e+03
5.092696e-04 1.332274e+03 1.394582e+01 1.248998e+03
5.159891e-04 1.332465e+03 1.394781e+01 1.249177e+03
5.227974e-04 1.332647e+03 1.394972e+01 1.249348e+03
5.296954e-04 1.332821e+03 1.395154e+01 1.249511e+03
5.366845e-04 1.332987e+03 1.395327e+01 1.249666e+03
5.437658e-04 1.333144e+03 1.395490e+01 1.249813e+03
5.509405e-04 1.333292e+03 1.395646e+01 1.249952e+03
5.582099e-04 1.333432e+03 1.395792e+01 1.250084e+03
5.655752e-04 1.333564e+03 1.395929e+01 1.250207e+03
5.730376e-04 1.333687e+03 1.396058e+01 1.250323e+03
