      r[a_0]     n(bound)   n(unbound)
6.153859e-04 7.725981e+03 8.572911e-03
6.234695e-04 7.725158e+03 8.571987e-03
6.316593e-04 7.724272e+03 8.570993e-03
6.399566e-04 7.723322e+03 8.569927e-03
6.483629e-04 7.722309e+03 8.568791e-03
6.568797e-04 7.721231e+03 8.567582e-03
6.655083e-04 7.720088e+03 8.566302e-03
6.742503e-04 7.718882e+03 8.564951e-03
6.831071e-04 7.717611e+03 8.563527e-03
6.920802e-04 7.716275e+03 8.562031e-03
7.011712e-04 7.714874e+03 8.560462e-03
7.103817e-04 7.713407e+03 8.558821e-03
7.197131e-04 7.711876e+03 8.557107e-03
7.291671e-04 7.710279e+03 8.555320e-03
7.387453e-04 7.708615e+03 8.553459e-03
7.484492e-04 7.706886e+03 8.551524e-03
7.582807e-04 7.705091e+03 8.549516e-03
7.682413e-04 7.703228e+03 8.547433e-03
7.783328e-04 7.701299e+03 8.545275e-03
7.885568e-04 7.699303e+03 8.543042e-03
7.989151e-04 7.697239e+03 8.540734e-03
8.094094e-04 7.695108e+03 8.538351e-03
8.200417e-04 7.692908e+03 8.535891e-03
8.308136e-04 7.690640e+03 8.533355e-03
8.417269e-04 7.688304e+03 8.530742e-03
8.527837e-04 7.685898e+03 8.528052e-03
8.639857e-04 7.683423e+03 8.525285e-03
8.753348e-04 7.680878e+03 8.522440e-03
8.868330e-04 7.678263e+03 8.519516e-03
8.984822e-04 7.675577e+03 8.516513e-03
9.102845e-04 7.672821e+03 8.513431e-03
9.222418e-04 7.669993e+03 8.510270e-03
9.343561e-04 7.667093e+03 8.507028e-03
9.466296e-04 7.664122e+03 8.503706e-03
9.590644e-04 7.661078e+03 8.500302e-03
9.716624e-04 7.657961e+03 8.496817e-03
9.844260e-04 7.654770e+03 8.493250e-03
9.973572e-04 7.651506e+03 8.489600e-03
1.010458e-03 7.648167e+03 8.485866e-03
1.023731e-03 7.644753e+03 8.482050e-03
1.037179e-03 7.641264e+03 8.478148e-03
1.050803e-03 7.637700e+03 8.474162e-03
1.064606e-03 7.634059e+03 8.470091e-03
1.078591e-03 7.630341e+03 8.465933e-03
1.092759e-03 7.626546e+03 8.461689e-03
1.107113e-03 7.622673e+03 8.457357e-03
1.121656e-03 7.618721e+03 8.452938e-03
1.136390e-03 7.614691e+03 8.448430e-03
1.151317e-03 7.610581e+03 8.443832e-03
1.166440e-03 7.606391e+03 8.439146e-03
1.181762e-03 7.602120e+03 8.434368e-03
1.197286e-03 7.597768e+03 8.429499e-03
1.213013e-03 7.593334e+03 8.424539e-03
1.228947e-03 7.588818e+03 8.419486e-03
1.245090e-03 7.584218e+03 8.414339e-03
1.261445e-03 7.579535e+03 8.409099e-03
1.278015e-03 7.574767e+03 8.403764e-03
1.294803e-03 7.569914e+03 8.398333e-03
1.311811e-03 7.564976e+03 8.392806e-03
1.329043e-03 7.559951e+03 8.387182e-03
1.346501e-03 7.554838e+03 8.381460e-03
1.364188e-03 7.549639e+03 8.375639e-03
1.382108e-03 7.544350e+03 8.369719e-03
1.400263e-03 7.538973e+03 8.363698e-03
1.418657e-03 7.533505e+03 8.357577e-03
1.437292e-03 7.527947e+03 8.351353e-03
1.456172e-03 7.522297e+03 8.345027e-03
1.475300e-03 7.516556e+03 8.338597e-03
1.494679e-03 7.510721e+03 8.332062e-03
1.514313e-03 7.504792e+03 8.325422e-03
1.534204e-03 7.498769e+03 8.318675e-03
1.554357e-03 7.492651e+03 8.311821e-03
1.574775e-03 7.486437e+03 8.304859e-03
1.595461e-03 7.480126e+03 8.297787e-03
1.616419e-03 7.473717e+03 8.290606e-03
1.637652e-03 7.467209e+03 8.283313e-03
1.659163e-03 7.460602e+03 8.275908e-03
1.680958e-03 7.453895e+03 8.268390e-03
1.703038e-03 7.447087e+03 8.260758e-03
1.725409e-03 7.440176e+03 8.253011e-03
1.748074e-03 7.433163e+03 8.245148e-03
1.771036e-03 7.426046e+03 8.237167e-03
1.794300e-03 7.418824e+03 8.229069e-03
1.817870e-03 7.411496e+03 8.220850e-03
1.841749e-03 7.404062e+03 8.212512e-03
1.865942e-03 7.396521e+03 8.204052e-03
1.890452e-03 7.388871e+03 8.195470e-03
1.915285e-03 7.381112e+03 8.186763e-03
1.940443e-03 7.373242e+03 8.177932e-03
1.965933e-03 7.365261e+03 8.168975e-03
1.991757e-03 7.357168e+03 8.159891e-03
2.017920e-03 7.348961e+03 8.150679e-03
2.044427e-03 7.340640e+03 8.141337e-03
2.071282e-03 7.332204e+03 8.131865e-03
2.098490e-03 7.323651e+03 8.122261e-03
2.126055e-03 7.314981e+03 8.112524e-03
2.153983e-03 7.306193e+03 8.102652e-03
2.182277e-03 7.297285e+03 8.092646e-03
2.210943e-03 7.288257e+03 8.082502e-03
2.239985e-03 7.279107e+03 8.072221e-03
2.269409e-03 7.269834e+03 8.061800e-03
2.299220e-03 7.260438e+03 8.051239e-03
2.329422e-03 7.250917e+03 8.040537e-03
2.360021e-03 7.241270e+03 8.029691e-03
2.391021e-03 7.231496e+03 8.018701e-03
2.422429e-03 7.221594e+03 8.007565e-03
2.454250e-03 7.211562e+03 7.996282e-03
2.486488e-03 7.201401e+03 7.984851e-03
2.519150e-03 7.191107e+03 7.973270e-03
2.552241e-03 7.180681e+03 7.961539e-03
2.585767e-03 7.170121e+03 7.949655e-03
2.619733e-03 7.159426e+03 7.937617e-03
2.654145e-03 7.148595e+03 7.925424e-03
2.689009e-03 7.137626e+03 7.913075e-03
2.724332e-03 7.126519e+03 7.900567e-03
2.760118e-03 7.115272e+03 7.887901e-03
2.796374e-03 7.103885e+03 7.875073e-03
2.833107e-03 7.092355e+03 7.862084e-03
2.870322e-03 7.080681e+03 7.848931e-03
2.908026e-03 7.068864e+03 7.835612e-03
2.946225e-03 7.056900e+03 7.822128e-03
2.984926e-03 7.044789e+03 7.808475e-03
3.024135e-03 7.032530e+03 7.794653e-03
3.063859e-03 7.020122e+03 7.780660e-03
3.104106e-03 7.007563e+03 7.766495e-03
3.144880e-03 6.994852e+03 7.752156e-03
3.186191e-03 6.981987e+03 7.737642e-03
3.228044e-03 6.968969e+03 7.722951e-03
3.270447e-03 6.955794e+03 7.708081e-03
3.313407e-03 6.942462e+03 7.693032e-03
3.356931e-03 6.928973e+03 7.677801e-03
3.401027e-03 6.915323e+03 7.662388e-03
3.445702e-03 6.901513e+03 7.646790e-03
3.490964e-03 6.887541e+03 7.631006e-03
3.536820e-03 6.873405e+03 7.615035e-03
3.583279e-03 6.859105e+03 7.598875e-03
3.630348e-03 6.844638e+03 7.582525e-03
3.678036e-03 6.830005e+03 7.565982e-03
3.726350e-03 6.815203e+03 7.549246e-03
3.775298e-03 6.800231e+03 7.532315e-03
3.824890e-03 6.785089e+03 7.515188e-03
3.875133e-03 6.769774e+03 7.497862e-03
3.926036e-03 6.754285e+03 7.480337e-03
3.977607e-03 6.738621e+03 7.462611e-03
4.029856e-03 6.722782e+03 7.444682e-03
4.082791e-03 6.706765e+03 7.426549e-03
4.136422e-03 6.690569e+03 7.408210e-03
4.190757e-03 6.674193e+03 7.389664e-03
4.245806e-03 6.657637e+03 7.370909e-03
4.301578e-03 6.640897e+03 7.351944e-03
4.358083e-03 6.623974e+03 7.332768e-03
4.415329e-03 6.606866e+03 7.313378e-03
4.473328e-03 6.589572e+03 7.293774e-03
4.532089e-03 6.572090e+03 7.273954e-03
4.591621e-03 6.554420e+03 7.253916e-03
4.651936e-03 6.536560e+03 7.233659e-03
4.713043e-03 6.518509e+03 7.213182e-03
4.774952e-03 6.500265e+03 7.192484e-03
4.837675e-03 6.481829e+03 7.171562e-03
4.901221e-03 6.463197e+03 7.150415e-03
4.965603e-03 6.444370e+03 7.129042e-03
5.030830e-03 6.425345e+03 7.107443e-03
5.096914e-03 6.406123e+03 7.085614e-03
5.163866e-03 6.386701e+03 7.063556e-03
5.231697e-03 6.367079e+03 7.041267e-03
5.300419e-03 6.347256e+03 7.018745e-03
5.370045e-03 6.327230e+03 6.995990e-03
5.440584e-03 6.307000e+03 6.973000e-03
5.512051e-03 6.286566e+03 6.949773e-03
5.584456e-03 6.265926e+03 6.926310e-03
5.657812e-03 6.245079e+03 6.902608e-03
5.732132e-03 6.224025e+03 6.878667e-03
5.807428e-03 6.202762e+03 6.854486e-03
5.883713e-03 6.181289e+03 6.830063e-03
5.961000e-03 6.159606e+03 6.805397e-03
6.039302e-03 6.137711e+03 6.780489e-03
6.118633e-03 6.115604e+03 6.755336e-03
6.199006e-03 6.093284e+03 6.729938e-03
6.280435e-03 6.070749e+03 6.704294e-03
6.362933e-03 6.048000e+03 6.678403e-03
6.446515e-03 6.025035e+03 6.652266e-03
6.531195e-03 6.001854e+03 6.625880e-03
6.616988e-03 5.978455e+03 6.599245e-03
6.703907e-03 5.954839e+03 6.572362e-03
6.791968e-03 5.931004e+03 6.545229e-03
6.881186e-03 5.906950e+03 6.517846e-03
6.971576e-03 5.882676e+03 6.490213e-03
7.063153e-03 5.858183e+03 6.462329e-03
7.155933e-03 5.833468e+03 6.434194e-03
7.249931e-03 5.808532e+03 6.405809e-03
7.345165e-03 5.783374e+03 6.377172e-03
7.441649e-03 5.757995e+03 6.348285e-03
7.539401e-03 5.732392e+03 6.319146e-03
7.638437e-03 5.706567e+03 6.289757e-03
7.738774e-03 5.680519e+03 6.260118e-03
7.840429e-03 5.654248e+03 6.230229e-03
7.943419e-03 5.627753e+03 6.200091e-03
