      r[a_0]     n[bound]   n[unbound]
2.830936e-05 7.300455e+01 5.570069e+00
2.849243e-05 7.326259e+01 5.589757e+00
2.867668e-05 7.351943e+01 5.609352e+00
2.886213e-05 7.377505e+01 5.628856e+00
2.904877e-05 7.402947e+01 5.648267e+00
2.923662e-05 7.428268e+01 5.667587e+00
2.942569e-05 7.453470e+01 5.686815e+00
2.961598e-05 7.478551e+01 5.705952e+00
2.980750e-05 7.503513e+01 5.724997e+00
3.000025e-05 7.528356e+01 5.743951e+00
3.019426e-05 7.553079e+01 5.762815e+00
3.038952e-05 7.577683e+01 5.781587e+00
3.058604e-05 7.602169e+01 5.800269e+00
3.078383e-05 7.626536e+01 5.818861e+00
3.098290e-05 7.650786e+01 5.837362e+00
3.118326e-05 7.674917e+01 5.855774e+00
3.138491e-05 7.698930e+01 5.874095e+00
3.158787e-05 7.722826e+01 5.892328e+00
3.179214e-05 7.746605e+01 5.910470e+00
3.199773e-05 7.770267e+01 5.928524e+00
3.220465e-05 7.793813e+01 5.946489e+00
3.241291e-05 7.817242e+01 5.964365e+00
3.262252e-05 7.840556e+01 5.982152e+00
3.283348e-05 7.863754e+01 5.999852e+00
3.304580e-05 7.886836e+01 6.017463e+00
3.325950e-05 7.909803e+01 6.034987e+00
3.347458e-05 7.932656e+01 6.052422e+00
3.369105e-05 7.955394e+01 6.069771e+00
3.390892e-05 7.978018e+01 6.087033e+00
3.412820e-05 8.000528e+01 6.104207e+00
3.434890e-05 8.022925e+01 6.121295e+00
3.457103e-05 8.045208e+01 6.138297e+00
3.479459e-05 8.067379e+01 6.155213e+00
3.501960e-05 8.089437e+01 6.172043e+00
3.524606e-05 8.111383e+01 6.188787e+00
3.547399e-05 8.133217e+01 6.205446e+00
3.570339e-05 8.154940e+01 6.222020e+00
3.593427e-05 8.176551e+01 6.238509e+00
3.616665e-05 8.198052e+01 6.254913e+00
3.640053e-05 8.219442e+01 6.271233e+00
3.663592e-05 8.240722e+01 6.287469e+00
3.687284e-05 8.261892e+01 6.303622e+00
3.711128e-05 8.282953e+01 6.319690e+00
3.735127e-05 8.303904e+01 6.335676e+00
3.759281e-05 8.324747e+01 6.351579e+00
3.783592e-05 8.345482e+01 6.367399e+00
3.808059e-05 8.366109e+01 6.383136e+00
3.832685e-05 8.386628e+01 6.398792e+00
3.857470e-05 8.407039e+01 6.414365e+00
3.882415e-05 8.427344e+01 6.429858e+00
3.907521e-05 8.447542e+01 6.445268e+00
3.932790e-05 8.467635e+01 6.460598e+00
3.958223e-05 8.487621e+01 6.475847e+00
3.983819e-05 8.507502e+01 6.491016e+00
4.009582e-05 8.527278e+01 6.506104e+00
4.035511e-05 8.546949e+01 6.521113e+00
4.061607e-05 8.566516e+01 6.536042e+00
4.087873e-05 8.585979e+01 6.550892e+00
4.114308e-05 8.605338e+01 6.565663e+00
4.140914e-05 8.624595e+01 6.580355e+00
4.167692e-05 8.643748e+01 6.594969e+00
4.194643e-05 8.662799e+01 6.609504e+00
4.221769e-05 8.681749e+01 6.623962e+00
4.249070e-05 8.700596e+01 6.638342e+00
4.276548e-05 8.719343e+01 6.652645e+00
4.304203e-05 8.737988e+01 6.666871e+00
4.332037e-05 8.756533e+01 6.681021e+00
4.360051e-05 8.774978e+01 6.695094e+00
4.388247e-05 8.793324e+01 6.709091e+00
4.416624e-05 8.811570e+01 6.723012e+00
4.445185e-05 8.829717e+01 6.736858e+00
4.473931e-05 8.847765e+01 6.750629e+00
4.502863e-05 8.865716e+01 6.764324e+00
4.531982e-05 8.883569e+01 6.777946e+00
4.561289e-05 8.901324e+01 6.791493e+00
4.590786e-05 8.918983e+01 6.804966e+00
4.620473e-05 8.936545e+01 6.818365e+00
4.650352e-05 8.954011e+01 6.831691e+00
4.680425e-05 8.971381e+01 6.844944e+00
4.710692e-05 8.988656e+01 6.858125e+00
4.741155e-05 9.005836e+01 6.871232e+00
