      r[a_0]     n(bound)   n(unbound)
2.101124e-03 1.302344e+03 1.352033e+01
2.128855e-03 1.301510e+03 1.351162e+01
2.156952e-03 1.300662e+03 1.350277e+01
2.185419e-03 1.299801e+03 1.349378e+01
2.214262e-03 1.298927e+03 1.348465e+01
2.243486e-03 1.298040e+03 1.347538e+01
2.273096e-03 1.297139e+03 1.346597e+01
2.303097e-03 1.296224e+03 1.345642e+01
2.333493e-03 1.295295e+03 1.344672e+01
2.364291e-03 1.294352e+03 1.343687e+01
2.395495e-03 1.293395e+03 1.342687e+01
2.427110e-03 1.292424e+03 1.341673e+01
2.459144e-03 1.291439e+03 1.340643e+01
2.491600e-03 1.290439e+03 1.339598e+01
2.524484e-03 1.289424e+03 1.338538e+01
2.557802e-03 1.288394e+03 1.337463e+01
2.591560e-03 1.287350e+03 1.336371e+01
2.625764e-03 1.286291e+03 1.335264e+01
2.660419e-03 1.285216e+03 1.334141e+01
2.695531e-03 1.284126e+03 1.333001e+01
2.731107e-03 1.283020e+03 1.331846e+01
2.767152e-03 1.281899e+03 1.330674e+01
2.803673e-03 1.280762e+03 1.329485e+01
2.840676e-03 1.279609e+03 1.328279e+01
2.878168e-03 1.278440e+03 1.327057e+01
2.916154e-03 1.277255e+03 1.325817e+01
2.954641e-03 1.276053e+03 1.324561e+01
2.993637e-03 1.274834e+03 1.323286e+01
3.033147e-03 1.273599e+03 1.321994e+01
3.073179e-03 1.272347e+03 1.320685e+01
3.113739e-03 1.271078e+03 1.319357e+01
3.154834e-03 1.269792e+03 1.318011e+01
3.196472e-03 1.268488e+03 1.316647e+01
3.238659e-03 1.267167e+03 1.315265e+01
3.281403e-03 1.265828e+03 1.313863e+01
3.324711e-03 1.264471e+03 1.312443e+01
3.368591e-03 1.263096e+03 1.311004e+01
3.413050e-03 1.261702e+03 1.309545e+01
3.458095e-03 1.260290e+03 1.308067e+01
3.503736e-03 1.258860e+03 1.306570e+01
3.549978e-03 1.257411e+03 1.305052e+01
3.596831e-03 1.255943e+03 1.303515e+01
3.644302e-03 1.254456e+03 1.301957e+01
3.692400e-03 1.252949e+03 1.300379e+01
3.741132e-03 1.251423e+03 1.298781e+01
3.790508e-03 1.249877e+03 1.297161e+01
3.840535e-03 1.248311e+03 1.295521e+01
3.891223e-03 1.246726e+03 1.293859e+01
3.942580e-03 1.245120e+03 1.292176e+01
3.994614e-03 1.243493e+03 1.290472e+01
4.047335e-03 1.241846e+03 1.288745e+01
4.100752e-03 1.240178e+03 1.286996e+01
4.154874e-03 1.238489e+03 1.285225e+01
4.209710e-03 1.236778e+03 1.283432e+01
4.265270e-03 1.235047e+03 1.281616e+01
4.321564e-03 1.233293e+03 1.279777e+01
4.378600e-03 1.231518e+03 1.277915e+01
4.436389e-03 1.229721e+03 1.276030e+01
4.494941e-03 1.227901e+03 1.274120e+01
4.554265e-03 1.226059e+03 1.272188e+01
4.614373e-03 1.224194e+03 1.270231e+01
4.675273e-03 1.222307e+03 1.268250e+01
4.736978e-03 1.220396e+03 1.266244e+01
4.799497e-03 1.218462e+03 1.264214e+01
4.862841e-03 1.216504e+03 1.262158e+01
4.927021e-03 1.214523e+03 1.260078e+01
4.992048e-03 1.212518e+03 1.257972e+01
5.057933e-03 1.210489e+03 1.255840e+01
5.124688e-03 1.208435e+03 1.253683e+01
5.192324e-03 1.206357e+03 1.251499e+01
5.260853e-03 1.204254e+03 1.249289e+01
5.330286e-03 1.202126e+03 1.247053e+01
5.400635e-03 1.199973e+03 1.244789e+01
5.471913e-03 1.197794e+03 1.242499e+01
5.544132e-03 1.195590e+03 1.240181e+01
5.617304e-03 1.193360e+03 1.237836e+01
5.691441e-03 1.191103e+03 1.235463e+01
5.766557e-03 1.188821e+03 1.233061e+01
5.842664e-03 1.186511e+03 1.230632e+01
5.919776e-03 1.184175e+03 1.228174e+01
5.997906e-03 1.181812e+03 1.225687e+01
6.077067e-03 1.179422e+03 1.223171e+01
6.157272e-03 1.177004e+03 1.220625e+01
6.238536e-03 1.174559e+03 1.218050e+01
6.320873e-03 1.172086e+03 1.215446e+01
6.404296e-03 1.169584e+03 1.212811e+01
6.488820e-03 1.167055e+03 1.210146e+01
6.574460e-03 1.164496e+03 1.207450e+01
6.661230e-03 1.161909e+03 1.204723e+01
6.749145e-03 1.159293e+03 1.201966e+01
6.838221e-03 1.156648e+03 1.199177e+01
6.928472e-03 1.153973e+03 1.196356e+01
7.019915e-03 1.151268e+03 1.193504e+01
7.112564e-03 1.148534e+03 1.190620e+01
7.206436e-03 1.145769e+03 1.187703e+01
7.301547e-03 1.142974e+03 1.184753e+01
7.397913e-03 1.140149e+03 1.181771e+01
7.495551e-03 1.137292e+03 1.178756e+01
7.594478e-03 1.134405e+03 1.175707e+01
7.694710e-03 1.131486e+03 1.172625e+01
7.796266e-03 1.128536e+03 1.169508e+01
7.899161e-03 1.125554e+03 1.166358e+01
8.003415e-03 1.122541e+03 1.163173e+01
8.109044e-03 1.119495e+03 1.159954e+01
8.216068e-03 1.116417e+03 1.156700e+01
8.324504e-03 1.113306e+03 1.153411e+01
8.434372e-03 1.110163e+03 1.150086e+01
8.545689e-03 1.106986e+03 1.146726e+01
8.658475e-03 1.103777e+03 1.143330e+01
8.772750e-03 1.100534e+03 1.139898e+01
8.888534e-03 1.097257e+03 1.136430e+01
9.005845e-03 1.093947e+03 1.132925e+01
9.124705e-03 1.090603e+03 1.129383e+01
9.245133e-03 1.087225e+03 1.125804e+01
9.367151e-03 1.083812e+03 1.122188e+01
9.490779e-03 1.080365e+03 1.118535e+01
9.616039e-03 1.076883e+03 1.114844e+01
9.742952e-03 1.073366e+03 1.111115e+01
9.871540e-03 1.069814e+03 1.107348e+01
1.000183e-02 1.066226e+03 1.103542e+01
1.013383e-02 1.062604e+03 1.099698e+01
1.026758e-02 1.058945e+03 1.095815e+01
1.040309e-02 1.055251e+03 1.091893e+01
1.054039e-02 1.051521e+03 1.087932e+01
1.067950e-02 1.047755e+03 1.083932e+01
1.082045e-02 1.043952e+03 1.079892e+01
1.096326e-02 1.040113e+03 1.075812e+01
1.110795e-02 1.036238e+03 1.071692e+01
1.125456e-02 1.032326e+03 1.067532e+01
1.140310e-02 1.028377e+03 1.063332e+01
1.155359e-02 1.024391e+03 1.059091e+01
1.170608e-02 1.020368e+03 1.054810e+01
1.186058e-02 1.016307e+03 1.050488e+01
1.201711e-02 1.012210e+03 1.046125e+01
