     x         r      Vcoul     Vexc       V        rV      dNedr_b    dNedr_s   dNedr_f   dNedr      ne_b      ne_s      ne_f     ne
1.1898e-03 1.6601e-03 6.011e+02 2.655e-01 6.013e+02 9.983e-01 0.000e+00 1.457e-05 7.664e-05 1.457e-05 0.000e+00 4.208e-01 2.213e+00 4.208e-01 
1.1984e-03 1.6721e-03 5.967e+02 2.655e-01 5.970e+02 9.983e-01 0.000e+00 1.478e-05 7.748e-05 1.478e-05 0.000e+00 4.208e-01 2.205e+00 4.208e-01 
1.2072e-03 1.6843e-03 5.924e+02 2.655e-01 5.927e+02 9.982e-01 0.000e+00 1.500e-05 7.832e-05 1.500e-05 0.000e+00 4.208e-01 2.197e+00 4.208e-01 
1.2159e-03 1.6965e-03 5.881e+02 2.655e-01 5.884e+02 9.982e-01 0.000e+00 1.522e-05 7.918e-05 1.522e-05 0.000e+00 4.208e-01 2.189e+00 4.208e-01 
1.2248e-03 1.7089e-03 5.839e+02 2.655e-01 5.841e+02 9.982e-01 0.000e+00 1.544e-05 8.004e-05 1.544e-05 0.000e+00 4.208e-01 2.181e+00 4.208e-01 
1.2337e-03 1.7213e-03 5.797e+02 2.655e-01 5.799e+02 9.982e-01 0.000e+00 1.567e-05 8.092e-05 1.567e-05 0.000e+00 4.208e-01 2.173e+00 4.208e-01 
1.2426e-03 1.7338e-03 5.755e+02 2.655e-01 5.757e+02 9.982e-01 0.000e+00 1.589e-05 8.180e-05 1.589e-05 0.000e+00 4.208e-01 2.165e+00 4.208e-01 
1.2517e-03 1.7464e-03 5.713e+02 2.655e-01 5.716e+02 9.982e-01 0.000e+00 1.613e-05 8.269e-05 1.613e-05 0.000e+00 4.208e-01 2.158e+00 4.208e-01 
1.2608e-03 1.7591e-03 5.672e+02 2.654e-01 5.674e+02 9.982e-01 0.000e+00 1.636e-05 8.360e-05 1.636e-05 0.000e+00 4.207e-01 2.150e+00 4.207e-01 
1.2699e-03 1.7719e-03 5.631e+02 2.654e-01 5.633e+02 9.982e-01 0.000e+00 1.660e-05 8.451e-05 1.660e-05 0.000e+00 4.207e-01 2.142e+00 4.207e-01 
1.2791e-03 1.7847e-03 5.590e+02 2.654e-01 5.593e+02 9.981e-01 0.000e+00 1.684e-05 8.543e-05 1.684e-05 0.000e+00 4.207e-01 2.134e+00 4.207e-01 
